Date,Open,High,Low,Close,Adj Close,Volume
2022-09-28,241.500000,243.500000,236.000000,237.500000,237.500000,3529469
2022-09-29,242.000000,242.000000,236.000000,237.500000,237.500000,2299385
2022-09-30,235.000000,235.000000,231.500000,234.000000,234.000000,3673706
2022-10-03,228.500000,235.500000,228.500000,234.000000,234.000000,1778566
2022-10-04,235.000000,241.500000,234.500000,240.000000,240.000000,2900981
2022-10-05,242.500000,247.000000,242.000000,244.000000,244.000000,2698259
2022-10-06,243.500000,246.500000,241.000000,244.000000,244.000000,2737741
2022-10-07,241.500000,242.500000,230.500000,231.000000,231.000000,5022531
2022-10-11,227.000000,227.000000,223.500000,225.000000,225.000000,4644397
2022-10-12,228.500000,233.000000,226.500000,231.500000,231.500000,2619699
2022-10-13,229.500000,232.000000,228.500000,231.000000,231.000000,2123526
2022-10-14,235.000000,235.000000,231.000000,231.000000,231.000000,1878290
2022-10-17,227.500000,233.000000,227.500000,232.000000,232.000000,2979280
2022-10-18,234.500000,238.000000,232.000000,236.500000,236.500000,3449762
2022-10-19,235.500000,240.000000,234.000000,239.000000,239.000000,3190077
2022-10-20,235.000000,236.000000,230.000000,232.000000,232.000000,5097867
2022-10-21,232.000000,232.500000,228.000000,229.000000,229.000000,2231002
2022-10-24,231.000000,232.000000,229.000000,231.000000,231.000000,2004819
2022-10-25,233.000000,234.000000,230.500000,231.500000,231.500000,2131768
2022-10-26,234.000000,236.000000,231.500000,235.500000,235.500000,2372268
2022-10-27,237.000000,238.000000,232.500000,233.000000,233.000000,2252329
2022-10-28,233.000000,235.000000,232.000000,234.000000,234.000000,1411735
2022-10-31,235.500000,237.500000,234.500000,236.000000,236.000000,1701895
2022-11-01,236.000000,237.000000,234.500000,236.000000,236.000000,1168324
2022-11-02,233.000000,238.000000,233.000000,237.500000,237.500000,1746572
2022-11-03,235.000000,236.000000,232.500000,235.500000,235.500000,2057332
2022-11-04,233.000000,235.000000,229.500000,234.500000,234.500000,3350084
2022-11-07,236.500000,238.000000,234.000000,237.500000,237.500000,2520438
2022-11-08,239.500000,242.000000,239.000000,242.000000,242.000000,2253292
2022-11-09,243.500000,245.500000,242.000000,244.500000,244.500000,2270501
2022-11-10,241.000000,242.500000,240.000000,241.000000,241.000000,1357114
2022-11-11,248.000000,251.000000,244.500000,249.000000,249.000000,4038100
2022-11-14,250.000000,250.500000,247.500000,248.000000,248.000000,2539169
2022-11-15,248.000000,252.500000,247.000000,252.000000,252.000000,2251264
2022-11-16,251.500000,254.000000,250.500000,252.000000,252.000000,2212947
2022-11-17,252.000000,254.500000,250.000000,254.000000,254.000000,2113641
2022-11-18,253.000000,256.000000,252.000000,256.000000,256.000000,1909648
2022-11-21,257.000000,259.000000,254.000000,258.000000,258.000000,3068898
2022-11-22,259.000000,261.500000,255.000000,261.000000,261.000000,4098891
2022-11-23,261.500000,267.000000,260.500000,265.000000,265.000000,4050592
2022-11-24,267.000000,270.000000,266.000000,267.500000,267.500000,3832600
2022-11-25,270.000000,271.500000,265.000000,265.000000,265.000000,4341984
